plot_id,Baiomys,Chaetodipus,Dipodomys,Neotoma,Onychomys,Perognathus,Peromyscus,Reithrodontomys,Sigmodon,Spermophilus
1,7,22.199386503067483,60.232142857142854,156.22222222222223,27.67549668874172,9.625,22.22222222222222,11.375,NA,NA
2,6,25.110144927536233,55.68258706467662,169.14364640883977,26.873015873015873,6.947368421052632,22.269662921348313,10.680555555555555,70.85714285714286,NA
3,8.61111111111111,24.636363636363637,52.046875,158.24137931034483,26.03240740740741,7.5078125,21.37037037037037,10.516587677725118,65.6140350877193,NA
4,NA,23.023809523809526,57.52454212454212,164.16666666666666,28.09375,7.824427480916031,22.6,10.263157894736842,82,NA
5,7.75,17.982758620689655,51.1135593220339,190.03703703703704,27.016949152542374,8.658536585365853,21.23170731707317,11.154545454545454,82.66666666666667,NA
6,NA,24.860091743119266,58.605313092979124,179.93333333333334,25.8994708994709,7.809523809523809,21.840425531914892,10.670454545454545,68.77777777777777,NA
7,NA,19.916030534351144,57.36363636363637,170.22222222222223,23.583333333333332,7,22.21698113207547,11.07569721115538,NA,NA
8,NA,20.472843450479232,59.41090317331164,133.85714285714286,25.86577181208054,7.056603773584905,20.11764705882353,9.692307692307692,NA,NA
9,NA,18.915966386554622,57.51791988756149,161.8181818181818,27.546666666666667,7.371428571428571,21.65625,10.321428571428571,56.5,NA
10,NA,22.333333333333332,51.833333333333336,190,28.681818181818183,NA,21.059701492537314,10.87719298245614,101,NA
11,NA,19.808823529411764,50.606516290726816,153.25714285714287,25.88622754491018,8.121212121212121,21.602941176470587,10.819444444444445,64.05882352941177,NA
12,NA,19.61637931034483,50.482933914306464,169.01333333333332,26.114173228346456,7.875,20.984126984126984,10.673267326732674,66.22222222222223,NA
13,NA,27.296511627906977,60.47430830039526,153.72972972972974,27.472972972972972,9.275510204081632,21.795454545454547,10.306666666666667,74,NA
14,NA,16.51851851851852,48.860198624904505,139.08771929824562,29.49142857142857,8.838709677419354,21.025,9.911764705882353,NA,130
15,NA,20.536231884057973,46.583333333333336,164.27272727272728,25.346534653465348,8.163120567375886,20.252032520325205,10.264957264957266,58,NA
16,NA,22.153846153846153,45.81981981981982,117,25.348837209302324,6.666666666666667,20.587628865979383,10.828025477707007,NA,NA
17,NA,23.17816091954023,52.56867671691792,145.94117647058823,26.107843137254903,8.6,21,9.962025316455696,69.13333333333334,NA
18,9.5,26.75581395348837,61.396103896103895,148.625,26.57983193277311,8.624161073825503,21.370786516853933,11.05,46.1,NA
19,9.533333333333333,26.425925925925927,43.26923076923077,120,23.82894736842105,8.094202898550725,20.842391304347824,10.528205128205128,67.86666666666666,NA
20,6,25.057471264367816,65.93596059113301,155.34146341463415,25.232558139534884,8.144144144144144,21.138613861386137,10.712,63,57
21,6.666666666666667,28.18354430379747,42.68571428571428,137.76470588235293,24.592105263157894,9.191616766467066,22.058823529411764,10.164102564102564,71.10714285714286,NA
22,NA,29.739583333333332,70.38413098236776,136.86666666666667,24.642105263157895,10.815384615384616,21.346153846153847,9.285714285714286,50,NA
23,NA,22.444444444444443,53.62068965517241,117.5,23.40909090909091,6.4,21.52212389380531,11.037234042553191,199,NA
24,NA,20.46153846153846,45.74643874643875,165.72164948453607,25.68,10.5,21.821969696969695,10.639751552795031,66.85714285714286,NA
